Word List and Definitions for the King James Bible


Word  Count, Definition, Reference(s) 
Imperious   (1) domineering, overbearing, dominant, or commanding (Eze 16:30) 
Implacable   (1) unappeasable, or irreconcilable (Rom 1:31) 
Implead   (1) to sue in a court of justice (Act 19:38) 
Importunity   (1) pressing solicitation; urgent request; unwanted persistence (Luk 11:8) 
Impotent   (4) to be without power, helpless, weak or ineffective (Joh 5:3, Joh 5:7; Act 4:9) 
Impudent   (3) immodest, disrespectful, or shameless (Pro 7:13; Eze 2:4, Eze 3:7) 
Impute   (13) To charge; to attribute or count (Rom 4:8) 
Incontinent   (1) inability to contain or restrain oneself (2Ti 3:3) 
Inditing   (1) to declare something (Psa 45:1) 
Infamy   (2) shame, disgrace, or bad reputation (Pro 25:10; Eze 36:3) 
Infidel   (2) one who is unfaithful or unbelieving (2Co 6:15; 1Ti 5:8) 
Infolding   (1) to envelop, enclose, contain, or fold in (Eze 1:4) 
Injurious   (1) hurtful, insulting, abusive (1Ti 1:13) 
Inkhorn   (3) a small portable vessel for ink (Eze 9:2, Eze 9:3, Eze 9:11) 
Inquisition   (3) investigation, examination, or inquiry (Deu 19:18; Est 2:23; Psa 9:12) 
Instant   (3) earnest, urgent or persistent (Luk 23:23; Rom 12:12; 2Ti 4:2) 
Issue   (40) a discharge or flow from the body (Gen 48:6; Luk 8:44) 
Jangling   (1) to make a harsh sound or a noisy altercation (1Ti 1:6) 
Jewry   (3) Judaea: (Dan 5:13; Luk 23:5; Joh 7:1) 
Jot   (1) a little bit or the very least part of something (Mat 5:18) 
Kerchiefs   (2) a cloth used to cover the heads of women; veil (Eze 13:18, Eze 13:21) 
Kernels   (1) the fruit seed, the inner part of a seed, or kernel of corn (Num 6:4) 
Kine   (24) cows (Gen 32:15; Amo 4:1) 
Knop   (10) knob; anything that protrudes (Exo 25:33, Exo 37:19) 
Know   (17) a sexual relationship (Gen 19:5; 1Ki 1:4; Mat 1:25) 
Lade   (13) to load; burden (Gen 45:17; 1Ki 12:11; Luk 11:46) 
Lance   (1) spear (Jer 50:42) 
Lancets   (1) a small spear, javelin, dart (1Ki 18:28) 
Lapwing   (2) a bird (a plover) (Lev 11:19; Deu 14:18) 
Lasciviousness   (6) to be lustful, licentious, lewd (Mar 7:22; 2Co 12:21; Gal 5:19) 
Latchet   (4) thong, lace (Mar 1:7; Luk 3:16; Joh 1:27) 
Laud   (1) to extol, praise, worship, or acclaim (Rom 15:11) 
Laver   (20) a basin, bowl, or other vessel used for washing (Exo 30:18; 2Ki 16:17) 
Leasing   (2) lying, falsehood, or deceit (Psa 4:2; Psa 5:6) 
Leaven   (23) yeast, fermented bread dough (Exo 12:15; Gal 5:9) 
Lees   (4) the deposits or sediment from a liquid; dregs (Isa 25:6; Jer 48:11; Zep 1:12) 
Legion   (4) three to five thousand (Mat 26:53) 
Let   (4) to hinder, prevent, or obstruct (Isa 43:13; Rom 1:13; 2Th 2:7) 
Leviathan   (2) aquatic animal; river or sea creature (Job 41:1; Psa 104:26) 
Libertines   (1) freed slaves (Act 6:9) 
Licence   (2) to give permission or authorization (Act 21:40, Act 25:16) 
Lieutenants   (4) provincial rulers (Ezr 8:36; Est 3:12) 
Lign aloes   (1) an aromatic wood (Num 24:6) 
Liking   (2) ones condition, whether good or bad (Job 39:4; Dan 1:10) 
Listed   (4) meaning pleases, desires (Mat 17:12; Mar 9:13; Joh 3:8) 
Litters   (1) a portable couch or bed (Isa 66:20) 
Lively   (3) living or to have life (Act 7:38; 1Pe 1:3, 1Pe 2:5) 
Lordly   (1) to be magnificent, noble, or grand (Jdg 5:25) 
Lowring   (1) gloomy, dark, threatening, or menacing (Mat 16:3) 
Lucre   (6) dishonorable or unlawful gain or advantage (1Sa 8:3; 1Ti 3:3; Tit 1:7) 
Lunatick   (2) one who is insane (Mat 4:24, Mat 17:15) 
Lusty   (1) vigorous, strong, lively or robust (Jdg 3:29) 
Magnifical   (1) renowned, glorious, eminent, stately (1Ch 22:5) 
Mail   (2) body armor of overlapping plates (1Sa 17:5, 1Sa 17:38) 
Malefactor   (4) a criminal, felon, or one who does evil (Joh 18:30; Luk 23:32, Luk 23:39) 
Malignity   (1) hatred, wickedness, or malice (Rom 1:29) 
Mallows   (1) an inedible plant (Job 30:4) 
Mammon   (4) reproach for wealth, riches, or money (Mat 6:24; Luk 16:9) 

Mandrakes   (6) plant used as a love charm (Gen 30:14; Son 7:13) 
Mantle   (14) a loose sleeveless cloak (Jdg 4:18; Psa 109:29) 
Maranatha   (1) "our Lord cometh." (1Co 16:22) 
Marishes   (1) marshes, swamps or other wetlands (Eze 47:11) 
Matrix   (5) the womb or the point of origin (Exo 13:12; Num 3:12) 
Maul   (1) hammer, mallet (Pro 25:18) 
Maw   (1) stomach, the fourth stomach of a ruminant (Deu 18:3) 
Mean   (5) common, undistinguished, inferior, or of low degree (Pro 22:29; Isa 2:9; Act 21:39) 
Meat   (284) food of any kind (Gen 1:29, Gen 1:30; Joh 4:34) 
Meet   (27) proper, fitting, suitable, or becoming (Gen 2:18; 2Pe 1:13) 
Mess   (2) a portion, share, ration, or allotment of food (Gen 43:34; 2Sa 11:8) 
Messiah   (2) the anointed one (Dan 9:25, Dan 9:26; Joh 1:41, Joh 4:25) 
Mete   (6) to allot, measure, or apportion (Exo 16:18; Psa 60:6; Mat 7:2) 
Meteyard   (1) a measuring rod (Lev 19:35) 
Milch   (3) an animal which gives milk (Gen 32:15; 1Sa 6:7, 1Sa 6:10) 
Mincing   (1) with little steps (Isa 3:16) 
Minish   (2) to make less in size, degree, power, or influence (Exo 5:19); Psa 107:39) 
Mite   (3) extremely small piece of money (Luk 12:59; Mar 12:42; Luk 21:2) 
Mitre   (13) a cap, turban, headdress; ceremonial headwear (Exo 28:4; Zec 3:5) 
Mollified   (1) to be softened, soothed, appeased, or pacified (Isa 1:6) 
Morrow   (101) the next day, the next morning (Gen 19:34; Jam 4:14) 
Mortify   (2) to kill, destroy (Rom 8:13; Col 3:5) 
Mote   (6) a speck of dirt or dust (Mat 7:3, Mat 7:4, Luk 6:42) 
Muffler   (1) an ornament worn by women (Isa 3:19) 
Munition   (3) a fortification, defensive structure (Isa 29:7; Nah 2:1) 
Murrain   (1) a plague effecting domestic animals (Exo 9:3) 
Napkin   (3) a kerchief, neckerchief, handkerchief (Luk 19:20; Joh 11:44, Joh 20:7) 
Nativity   (7) ones birth with reference to national identity (Gen 11:28; Rth 2:11; Jer 46:16) 
Naught   or Nought (37) worthless or nothing (2Ki 2:19; Pro 20:14) 
Naves   (1) the hub of wheels (1Ki 7:33) 
Nay   (55) no; denial (Gen 18:15; Jam 5:12) 
Necromancer   (1) one who attempts to foretell events by seeking the dead (Deu 18:11) 
Neesings   (1) sneezing (Job 41:18) 
Nephew   (4) a grandson or descendant (Job 18:19; Isa 14:22) 
Nether   (15) lower; beneath (Exo 19:17; Eze 32:24) 
Nigh   (100) near, proximity in place, time, or position (Gen 47:29; Jam 5:8) 
Nitre   (2) carbonate of soda, a cleansing agent (Pro 25:20; Jer 2:22) 
Noised   (4) to make a noise, spread a rumor, or report an event (Jos 6:27; Mar 2:1; Luk 1:65) 
Noisome   (4) to be annoying or hurtful (Psa 91:3; Eze 14:15; Rev.16:2) 
Obeisance   (9) an expression of respect or submission (Gen 37:7; Ex.18:7; 2Ch 24:17) 
Oblation   (1) a sacrifice or offering usually made to a god (Lev 2:4; Isa 44:20) 
Occupy   (1) to trade or do business (Luk 19:13) 
Occurrent   (1) happening, taking place (1Ki 5:4) 
Odious   (2) offensive, disgusting, or repugnant (1Ch 19:6; Pro 30:23) 
Offend   (3) cause to stumble or sin (Mat 18:6, Mat 18:8, Mat 18:9) 
Oft   (13) often; frequently (2Ki 4:8; Job 21:17; Heb 6:7) 
Omer   (5) one tenth of an ephah, about 6:5 pints (Exo 16:16.36) 
Omnipotent   (1) all-powerful; all-mighty (Rev 19:6) 
Oracle   (17) someone regarded as infallible; a place (2Sa 16:23; 1Ki 7:49; Psa 28:2) 
Oration   (1) a prayer, speech or discourse (Act 12:21) 
Ordain   (41) to establish in a particular office or order (1Ch 9:22; 1Co 7:17) 
Ossifrage   (2) a vulture (Lev 11:13; Deu 14:12) 
Ouches   (8) sockets or precious settings (Exo 28:11) 
Outgoings   (8) limits; boundaries (Jos 17:9; Psa 65:8) 
Outlandish   (1) a foreigner, or one who is strange or bizarre (Neh 13:26) 
Painfulness   (1) toil, labour (2Co 11:27) 
Palsy   (12) paralysis (Mat 4:24; Act 9:33) 
Pangs   (9) sharp pains (Isa 13:8; Mic 4:9) 
Paps   (4) nipples, breasts (Eze 23:21; Luk 11:27, Rev 1:13) 
Paramours   (1) a mistress, concubine, or illicit lover (Eze 23:20) 
Pate   (1) the crown of the head (Psa 7:16) 
Patrimony   (1) an inheritance from one&#8217;s father (Deu 18:8) 
Peculiar   (7) singular, particular; belonging exclusively to a person (Exo 19:5; Tit 2:14; 1Pe 2:9) 
Pentecost   (3) fiftieth day after passover (Act 2:1; 1Co 16:8) 
Penury   (2) to be destitute or in poverty (Pro 14:23; Luk 21:4) 
Peradventure   (32) perhaps; possibly (1Ki 18:27; Rom 5:7) 
Perdition   (8) damnation, destruction, or loss (Joh 17:12; Rev 17:11) 
Pernicious   (1) destructive, hurtful, or wicked (2Pe 2:2) 
Phylacteries   (1) small boxes containing texts of Scripture (Mat 23:5) 
Pilled   (2) to be peeled (Gen 30:37, Gen 30:38) 
Plaiting   (1) to braid, fold together, or weave (1Pe 3:3) 
Plat   (1) plot of ground (1Ki 9:26) 
Platted   (3) to be braided or weaved (Mat 27:29; Mar 15:17; Joh 19:2) 
Poll   (9) to count individually (Num 3:47; Eze 44:20; Mic 1:16) 
Polled   (1) cut hair (2Sa 14:26) 
Pommels   (3) a knob or ornamental ball (2Ch 4:12, 2Ch 4:13) 
Port   (1) gate, entry (Neh 2:13) 
Post   (2) messenger carrying letters (Job 9:25; 2Ch 30:6) 
Potentate   (1) a sovereign, king, dictator, or supreme ruler (1Ti 6:15) 
Potsherd   (4) piece of broken pottery (Psa 22:15; Isa 45:9) 
Pottage   (7) porridge, stew, or thick soup (Gen 25:29; Hag 2:12) 
Pound   (15) a weight of silver (1Ki 10:17; Joh 19:39) 
Prating   (3) foolish, boastful, or vain talk (Pro 10:8, Pro 10:10; 3Jo 1:10) 
Presbytery   (1) assembly of elders (1Ti 4:14) 
Presently   (6) immediately (Pro 12:16; Mat 26:53) 
Press   (3) crowd of people (Mar 2:4, Mar 5:27; Luk 8:19, Luk 19:3) 
Prevent   (7) to go before, or preceed (Job 3:12; 1Th 4:15) 
Prey   (71) booty, spoil (Num 31:12, Num 31:26) 
Pricks   (3) goads for driving cattle (Num 33:55; Act 9:5, Act 26:14) 
Privily   (15) secretly; privately (Jdg 9:31; Mat 1:19) 
Privy   (4) to have knowledge of (Jdg 9:31; 2Pe 2:1) 
Profane   (13) common, unholy; to dishonor (Eze 42:20; Mal 2:11) 
Progenitors   (1) ancestors or forefathers (Gen 49:26) 
Prognosticators   (1) one who predicts, forecast, or foretells (Isa 47:13) 
Proselyte   (2) convert to Judaism (Mat 23:15; Act 2:10, Act 13:43) 
Prove   (12) to test or try (Exo 16:4; 1Ti 3:10) 
Provender   (7) animal feed (Gen 24:25; Isa 30:24) 
Psaltery   (13) a type of harp; stringed instrument (1Sa 10:5; Dan 3:15) 
Publican   (6) a tax collector (Mat 10:3, Mat 18:17; Luk 5:27) 
Pulse   (3) grain, seed, or beans used as food (2Sa 17:28; Dan 1:12, 16) 
Purloining   (1) stealing; theft (Tit 2:10) 
Purtenance   (1) the intestines of an animal (Exo 12:9) 
Putrifying   (1) to rot, decay; to stink (Isa 1:6) 
Pygarg   (1) an antelope with a white rump (Deu 14:5) 
Quarter   (17) a region, locality, or section (Gen 19:4; Isa 47:15; Mar 1:45) 
Quaternions   (1) a set of four things (Act 12:4) 
Quick[en]   (23) to have, give, or restore life (Lev 13:10; 1Pe 4:5; Rom 8:11) 
Quit   (6) aquit; to be discharged or free (Exo 21:19; Jos 2:20), (2) to release from an obligation (1Sa 4:9; 1Co 16:13) 
Rail   (14) to denounce, scorn, insult (1Sa 25:14; Mar 15:29; Luk 23:29) 
Raiment   (57) clothing, dress, or apparel (Gen 24:53; Rev 4:4) 
Rampart   (2) earth raised around a fort; fortification (Lam 2:8; Nah 3:8) 
Ranging   (1) roving, wandering (Pro 28:15) 
Rank   (2) full grown, upright, robust (Gen 41:5, Gen 41:7) (4) to set the battle in array (Num 2:16; 1Ch 12:33) 
Rase   (2) demolish; destroy (Psa 137:7) 
Ravening   (5) plundering; tearing to pieces (Luk 11:39; Eze 22:25) 
Ravin   (2) to plunder, rob, or pillage (Gen 49:27; Nah 2:12) 
Rear   (4) to raise, build or erect (Lev 26:1; 2Sa 24:18; Joh 2:20) 
Redound   (1) to rebound, exceed, overflow (2Co 4:15) 
Rehearse   (2) report, declare (Exo 17:14; Act 14:27) 
Reins   (15) the seat of emotions, feelings, or affections (Job 16:13; Rev 2:23) 
Rend   (19) to tear or pull apart (Exo 39:23; Joh 19:24) 
Reprobate   (7) refused, depraved, worthless (Jer 6:30; Rom 1:28; 2Ti 3:8) 
Requite   (9) to pay back or retaliate (Gen 50:15; 1Ti 5:4) 
Rereward   (6) a rear guard (Num 10:25; Jos 6:9; 1Sa 29:2) 
Respite   (2) a rest, a reprieve or postponement (Exo 8:15; 1Sa 11:3) 
Revellings   (2) a noisy feast, any kind of disorderly or immoral festivity (Gal 5:21; 1Pe 4:3) 
Rifled   (1) to be plundered, robbed, pillaged (Zec 14:2) 
Ringstraked   (2) streaked, striped (Gen 30:35.40, Gen 31:8) 
Riot   (4) wanton, or wasteful living; extravagance (Tit 1:6; 1Pe 4:4; 2Pe 2:13) 
Rising   (7) an abscess, tumor, or boil (Lev 13:2) 
Road   (1) a journey, hostile incursion, or raid (1Sa 27:10) 
Rude   (1) unlearned, uneducated, unskilled (2Co 11:6) 
Rudiments   (2) first principles; origin, first form (Col 2:8, Col 2:20) 
Rue   (1) an herb (Luk 11:42) 
Sackbut   (4) a medieval wind instrument (Dan 3:5, Dan 3:10, Dan 3:15) 
Sacrilege   (1) stealing what is consecrated to God (Rom 2:22) 
Satiate   (3) to fill to excess or satisfy (Jer 31:14, Jer 46:10) 
Satyr   (2) male goat (Isa 13:21, Isa 34:14) 
Save   (1) besides; except (Joh 6:22, Joh 6:46) 
Savour   (54) taste (Exo 5:21; Mat 5:13); think, understand (Mat 16:23; Mar 8:33) 
Scall   (14) a sore or scab (Lev 13:30, Lev 14:54) 
Scant   (1) skimped, meager (Mic 6:10) 
Scrabbled   (1) rake, scrape, or snatch hurriedly (1Sa 21:13) 
Scrip   (7) a small bag, satchel, or purse (1Sa 17:40; Luk 22:36) 
Seemly   (2) fitting, proper or appropriate (Pro 19:10, Pro 26:1) 
Seethe   (9) to boil or cook by boiling (Exo 16:23; Zec 14:21) 
Selvedge   (2) the edge of woven fabric (Exo 26:4, Exo 36:11) 
Sepulchre   (54) a tomb, grave, or burial place (Gen 23:6; Rom 3:13) 
Servile   (12) befitting a slave or a menial position (Lev 23:7; Num 29:35) 
Servitor   (1) a servant, slave; one who provides a service (2Ki 4:43) 
Settle   (6) a sitting place, or a raised platform (Eze 43:14, Eze 43:17, Eze 43:20, Eze 45:19) 
Severally   (1) separately, individually (1Co 12:11) 
Shambles   (1) tables for displaying goods; market (1Co 10:25) 
Shamefacedness   (1) the state or quality of being ashamed; modest (1Ti 2:9) 
Share   (1) to shear (1Sa 13:20) 
Shekel   (40) about .5 ounce (Exo 38:24, Exo 38:25) 
Sherd  (2) shard, fragment (Isa 30:14; Eze 23:34) 
Shittim   (33) acacia tree (Exo 25:5; Isa 41:19) 
Shivers   (1) chips, splinters, or slivers (Rev 2:27) 
Shod   (4) wearing shoes or furnished with shoes (2Ch 28:15; Eze 16:10; Eph 6:15) 
Shroud   (1) cover, shelter (Eze 31:3) 
Silly   (3) simple, foolish (Hos 7:11; 2Ti 3:6) 
Silverlings   (1) a piece of money made of silver (Isa 7:23) 
Similitude   (12) likeness, image, or resemblance (Num 12:8)

Simple   (20) ignorant, without guile, innocent (Pro 9:4; Rom 16:19) 
Sith   (1) since (Eze 35:6) 
Sixscore   (1) 120, 6 times 20 (1Ki 9:14; Jon 4:11) 
Sleight   (1) an artful trick; cunning, or skill (Eph 4:14) 
Slime   (2) mud, bitumen (Gen 11:3, Gen 14:10; Exo 2:3) 
Sluices   (1) a dam for water; barrier (Isa 19:10) 
Snuffed   (2) to inhale, draw up, smell (Jer 14:6; Mal 1:13) 
Sod   (2) cook, boil (Gen 25:29; 2Ch 35:13) 
Sodering   (1) soldering (Isa 41:7) 
Sojourn   (33) dwell for a period (Gen 12:10) 
Solace   (1) to comfort, sooth, console (Pro 7:18) 
Soothsayer   (7) one who claims to foretell future events (Jos 13:22; Isa 2:6; Dan 2:27) 
Sop   (4) bread dipped in liquid before being eaten (Joh 13:26, Joh 13:30) 
Sottish   (1) to be foolish or stupid (Jer 4:22) 
Spring   (2) dawn (Jdg 19:25; 1Sa 9:26) 
Stanched   (1) to stop (Luk 8:44) 
Stay   (33) support; hold up (Psa 18:18; Isa 3:1; Lev 13:5) 
Stead   (131) place (Gen 30:2; 2Co 5:20) 
Stomacher   (1) an embroidered garment; corset (Isa 3:24) 
Straightway   (42) immediately or right away (1Sa 9:13; Jam 1:24) 
Strait   (10) to be narrow, tight, or close (1Sa 13:6; Phi 1:23) 
Strakes   (2) a streak or a stripe (Gen 30:37; Lev 14:37) 
Strawed   (5) strewed, scattered (Exo 32:20; Mat 21:8) 
Stripling   (1) a youth or young person (1Sa 17:56) 
Suborned   (1) to procure secretly, bribe, or obtain by corrupt or counterfeit means (Act 6:11) 
Subtil   (3) cunning (Gen 3:1; Mat 26:4); insight, perception (Pro 1:4) 
Succour   (5) to help, aid, assist (2Sa 8:5, 2Sa 18:3; Heb 2:18) 
Suffer   (51) to allow, permit, tolerate (Exo 12:23; Rev 11:9) 
Sunder   (7) to separate, divide, or sever (Psa 46:9; Isa 27:9; Luk 12:46) 
Sundry   (1) separate, various, or diverse (Heb 1:1) 
Sup   (3) to have taken food to eat (Hab 1:9; Luk 17:8; Rev 3:20) 
Superfluity   (4) to be excessive, overflowing, or unnecessary (Jam 1:21; Lev 21:18; 2Co 9:1) 
Supple   (1) to soften, easily bent (Eze 16:4) 
Suppliants   (1) petition, pray, or beseech (Zeph 3:10) 
Surfeiting   (1) gluttony, overindulgence, or excess (Luk 21:34) 
Surmisings   (1) allegations, suspicions, or suppositions (1Ti 6:4) 
Swaddling   (1) to wrap or bind with cloth (Luk 2:7, Luk 2:12) 
Tabering   (1) the beating or striking of anything (Nah 2:7) 
Tabernacle   (328) tent, dwelling (Exo 39:32; Mat 17:4) 
Table   (2) writing tablet (Luk 1:63; 2Co 3:3) 
Tablets   (3) ornaments, necklace, jewelry (Exo 35:22; Num 31:50; Isa 3:20) 
Taches   (10) fasteners; hooks (Exo 26:6, Exo 39:33) 
Tale   (4) a number or quantity (Exo 5:8, Exo 5:18; 1Sa 18:27; 1Ch 9:28) 
Talent   (65) OT: 3,000 shekels, 94 Lbs (Exo 38:24); NT: 60 pounds (Luk 19:13) 
Tares   (8) any kind of weed (Mat 13:25) 
Targets   (3) a small shield or buckler (1Sa 17:6; 1Ki 10:16; 2Ch 9:15) 
Teats   (3) the nipple on the breast (Isa 32:12; Eze 23:3, Eze 23:21) 
Teil   (1) the linden or lime tree (Isa 6:13) 
Tell   (3) to count, reckon, or name numerically (Gen 15:5; Psa 22:17, Psa 48:12) 
Tempt   (14) try, test (Gen 22:1; Mat 4:7) 
Teraphim   (6) idols, images, or gods (Jdg 17:5, Jdg 18:14, Jdg 18:17, Jdg 18:18, Jdg 18:20; Hos 3:4) 
Terrestrial   (2) earthly, worldly; pertaining to land (1Co 15:40) 
Tetrarch   (7) one of four rulers (Mat 14:1; Luk 1:1; Act 13:1) 
Thee   (3825) the second person, singular pronoun; you (Gen 3:11; Rev 21:9) 
Thence   (145) from that time, date, or place (Gen 2:10; 2Co 2:13) 
Thine   (932) the possessive case of the second person (Gen 13:14 Exo 4:4; Rev 3:18) 
Thither   (95) there, toward that place (Gen 29:30; Act 25:4) 
Thou   (5473) personal pronoun of the second person singular (Gen 2:16; Jam 2:22; Rev 22:9) 
Thought   (1) anxiety; worry (Mat 6:25) 
Thrice   (15) three times in succession (Exo 34:23; 2Co 12:8) 
Thy   (4809) second person, singular pronoun (Gen 13:10; Rev 22:9) 
Thyine   (1) wood from the thya tree (Rev 18:12) 
Timbrel   (10) a small drum or tambourine (Ex.15:20; Job 21:12; Psa 81:2) 
Tire   (3) apparel, clothing, a head-dress (Eze 24:17) 
Tithe   (27) a tenth (Deu 14:22; Luk 11:42) 
Tittle   (2) the marks in writing (Mat 5:18; Luk 16:17) 
Tow   (3) the fibers of flax (Jdg 16:9; Isa 1:31, Isa 43:17) 
Traffick   (5) to trade, engage in commerce (Gen 42:34; 1Ki 10:15; Eze 17:4) 
Translate   (5) to transfer, convey, transport (Heb 11:5; Col 1:13; Heb 11:5) 
Travail   (5) work, labour (Gen 38:27; Isa 53:11) 
Trespass   (82) sin, transgress (Gen 50:17; Mat 18:15) 
Trow   (1) trust, believe, accept (Luk 17:9) 
Turtle   (12) turtle-dove (Lev 12:8; Son 2:12; Jer 8:7) 
Twain   (17) two (1Sa 18:21; Eph 2:15) 
Twined   (21) to be twisted, wrapped, or plaited together (Exo 26:1, Exo 39:29) 
Unawares   (12) unknowingly, unexpectedly (Gen 31:20; Jud 1:4) 
Unction   (1) anointing; divine or sanctifying grace (1Jo 2:20) 
Untoward   (1) to be corrupt, improper, or perverse in the AV (Act 2:40) 
Upbraid   (2) to rebuke, condemn, or scold (Jdg 8:15; Mat 11:20) 
Usurp   (1) hold in possession without right (1Ti 2:12) 
Usury   (24) interest on money (Exo 22:25; Luk 19:23) 
Uttermost   (2) outermost; last (Exo 26:4; Mat 5:26) 
Vagabond   (3) fugitive, wanderer (Gen 4:12; Act 19:13) 
Vail, Veil   (25) curtain; divider (Exo 26:31; Mat 27:51) 
Vale   (9) a valley (Gen 14:3; 2Ch 1:15; Jer 33:13) 
Valour   (37) importance, boldness, or determination (Jdg 3:29; Neh 11:14) 
Variableness   (1) changeable (Jam 1:17) 
Variance   (2) dissension or controversy (Mat 10:35; Gal 5:20) 
Vaunt   (1) to brag, boast, gloat (1Co 13:4) 
Vehement   (8) vigorous, violent, or intense (Son 8:6; Jon 4:8; 2Co 7:11) 
Vein   (1) a mineral deposit (Job 28:1) 
Venison   (8) the flesh of a beast of prey (Gen 25:28) 
Venture   (4) a happening or event involving chance, risk (1Ki 22:34; 2Ch 18:33) 
Verily   (140) truly, really, or indeed (Gen 42:21; 1Jo 2:5) 
Verity   (2) truth or an established fact (Psa 111:7; 1Ti 2:7) 
Vermilion   (2) a bright red pigment (Jer 22:14; Eze 23:14) 
Vestments   (2) garments, robes 2Ki 10:22) 
Vesture   (8) clothing or something that covers (Deu 22:12; Psa 22:18; Mat 27:35) 
Vex   (15) to trouble, afflict, or agitate (Lev 19:33; Isa 11:13) 
Vexation   (14) trouble, distress, affliction (Deu 28:20; Ecc 4:6) 
Victuals   (22) food, sustenance, or provisions (Exo 12:39, 2Ch 11:11) 
Vile   (19) wicked (Rom 1:26); lowly (Phi 3:21); filthy (Jam 2:2) 
Viol   (4) an instrument similar to a violin (Isa 5:12; Amo 6:5) 
Virtue   (10) worth, goodness, morality (Mar 5:30; Phi 4:8; 2Pe 1:3) 
Visage   (3) the face, countenance, or appearance of a person (Isa 52:14; Lam 4:8; Dan 3:19) 
Want   (31) lacking or deficient (Deu 28:48; Phi 4:11) 
Wanton   (5) undisciplined, unruly, extravagant (Isa 3:16; 1Ti 5:11; Jam 5:5) 
Wax   (20) growing or increasing in size or number (Exo 22:24; Heb 1:11) 
Wayfaring   (6) a traveler or wanderer (Jdg 19:17; 2Sa 12:4; Jer 9:2) 
Waymarks   (1) guideposts (Jer 31:21) 
Wen   (1) a lump, tumor, cyst (Lev 22:22) 
Wench   (1) a young girl, a maid, or a young women (2Sa 17:17) 
Whence   (72) from what place (Gen 16:8; Rev 7:13) 
Whet   (4) to sharpen (Deu 32:41; Psa 7:12; Ecc 10:10) 
Whilst   (20) while (Jdg 6:31; Heb 10:33) 
Whit   (5) the least amount (Deu 13:16; 1Sa 3:18; Joh 7:23) 
Wiles   (2) tricks, deceits, deception (Num 25:18; Eph 6:11) 
Wimples   (1) garment to cover the head and neck (Isa 3:22) 
Wise   (31) way or manner (Exo 22:23; Rev 21:27) 
Wist   (13) knew (Exo 16:15; Mar 9:6; Luk 2:49) 
Wit   (21) to know (Gen 24:21; 2Co 8:1) 
Withal   (32) therewith or with (Exo 25:29; Phi 1:22) 
Withs   (3) cords, ropes (Jdg 16:7) 
Wont   (9) accustomed to, used to (Exo 21:29; Act 16:13) 
Wot   (3) know (Exo 32:1; Gen 39:8; Act 3:17; Rom 11:2) 
Wreathen   (10) twisting or interweaving (Exo 28:14; 2Ki 25:17) 
Wrest   (5) to pull, force, detach (Exo 23:2; 2Pe 3:16) 
Wroth   (49) angry, indignant, or incensed (Gen 4:5; Rev 12:17) 
Ye   (3983) you (Gen 3:1; Rev 19:18) 
Yea   (340) yes (Gen 3:1; Rev 14:13) 
Yokefellow   (1) a person yoked or associated with another (Phi 4:3) 
Yonder   (7) over there, that location (Gen 22:5; Num 16:37; Mat 17:20)

